Title,IMDb Link
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/?ref_=sr_i_1
The Dark Knight,https://www.imdb.com/title/tt0468569/?ref_=sr_i_2
Inception,https://www.imdb.com/title/tt1375666/?ref_=sr_i_3
Fight Club,https://www.imdb.com/title/tt0137523/?ref_=sr_i_4
Game of Thrones,https://www.imdb.com/title/tt0944947/?ref_=sr_i_5
Forrest Gump,https://www.imdb.com/title/tt0109830/?ref_=sr_i_6
Pulp Fiction,https://www.imdb.com/title/tt0110912/?ref_=sr_i_7
Interstellar,https://www.imdb.com/title/tt0816692/?ref_=sr_i_8
Breaking Bad,https://www.imdb.com/title/tt0903747/?ref_=sr_i_9
The Matrix,https://www.imdb.com/title/tt0133093/?ref_=sr_i_10
The Godfather,https://www.imdb.com/title/tt0068646/?ref_=sr_i_11
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=sr_i_12
The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/?ref_=sr_i_13
The Dark Knight Rises,https://www.imdb.com/title/tt1345836/?ref_=sr_i_14
Se7en,https://www.imdb.com/title/tt0114369/?ref_=sr_i_15
The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/?ref_=sr_i_16
Django Unchained,https://www.imdb.com/title/tt1853728/?ref_=sr_i_17
Gladiator,https://www.imdb.com/title/tt0172495/?ref_=sr_i_18
The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/?ref_=sr_i_19
Inglourious Basterds,https://www.imdb.com/title/tt0361748/?ref_=sr_i_20
Batman Begins,https://www.imdb.com/title/tt0372784/?ref_=sr_i_21
The Silence of the Lambs,https://www.imdb.com/title/tt0102926/?ref_=sr_i_22
Joker,https://www.imdb.com/title/tt7286456/?ref_=sr_i_23
Saving Private Ryan,https://www.imdb.com/title/tt0120815/?ref_=sr_i_24
Shutter Island,https://www.imdb.com/title/tt1130884/?ref_=sr_i_25
Schindler's List,https://www.imdb.com/title/tt0108052/?ref_=sr_i_26
The Prestige,https://www.imdb.com/title/tt0482571/?ref_=sr_i_27
The Avengers,https://www.imdb.com/title/tt0848228/?ref_=sr_i_28
Star Wars: Episode IV - A New Hope,https://www.imdb.com/title/tt0076759/?ref_=sr_i_29
The Departed,https://www.imdb.com/title/tt0407887/?ref_=sr_i_30
The Green Mile,https://www.imdb.com/title/tt0120689/?ref_=sr_i_31
Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/?ref_=sr_i_32
Stranger Things,https://www.imdb.com/title/tt4574334/?ref_=sr_i_33
Avatar,https://www.imdb.com/title/tt0499549/?ref_=sr_i_34
The Godfather Part II,https://www.imdb.com/title/tt0071562/?ref_=sr_i_35
Memento,https://www.imdb.com/title/tt0209144/?ref_=sr_i_36
Back to the Future,https://www.imdb.com/title/tt0088763/?ref_=sr_i_37
Avengers: Endgame,https://www.imdb.com/title/tt4154796/?ref_=sr_i_38
Titanic,https://www.imdb.com/title/tt0120338/?ref_=sr_i_39
Goodfellas,https://www.imdb.com/title/tt0099685/?ref_=sr_i_40
Guardians of the Galaxy,https://www.imdb.com/title/tt2015381/?ref_=sr_i_41
Léon: The Professional,https://www.imdb.com/title/tt0110413/?ref_=sr_i_42
Avengers: Infinity War,https://www.imdb.com/title/tt4154756/?ref_=sr_i_43
The Truman Show,https://www.imdb.com/title/tt0120382/?ref_=sr_i_44
Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/?ref_=sr_i_45
WALL·E,https://www.imdb.com/title/tt0910970/?ref_=sr_i_46
American Beauty,https://www.imdb.com/title/tt0169547/?ref_=sr_i_47
Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/?ref_=sr_i_48
American History X,https://www.imdb.com/title/tt0120586/?ref_=sr_i_49
Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/?ref_=sr_i_50
V for Vendetta,https://www.imdb.com/title/tt0434409/?ref_=sr_i_51
Deadpool,https://www.imdb.com/title/tt1431045/?ref_=sr_i_52
The Lion King,https://www.imdb.com/title/tt0110357/?ref_=sr_i_53
The Usual Suspects,https://www.imdb.com/title/tt0114814/?ref_=sr_i_54
Up,https://www.imdb.com/title/tt1049413/?ref_=sr_i_55
Iron Man,https://www.imdb.com/title/tt0371746/?ref_=sr_i_56
The Shining,https://www.imdb.com/title/tt0081505/?ref_=sr_i_57
Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/?ref_=sr_i_58
Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/?ref_=sr_i_59
Catch Me If You Can,https://www.imdb.com/title/tt0264464/?ref_=sr_i_60
Finding Nemo,https://www.imdb.com/title/tt0266543/?ref_=sr_i_61
Friends,https://www.imdb.com/title/tt0108778/?ref_=sr_i_62
The Walking Dead,https://www.imdb.com/title/tt1520211/?ref_=sr_i_63
Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/?ref_=sr_i_64
Good Will Hunting,https://www.imdb.com/title/tt0119217/?ref_=sr_i_65
Reservoir Dogs,https://www.imdb.com/title/tt0105236/?ref_=sr_i_66
Braveheart,https://www.imdb.com/title/tt0112573/?ref_=sr_i_67
Toy Story,https://www.imdb.com/title/tt0114709/?ref_=sr_i_68
Gone Girl,https://www.imdb.com/title/tt2267998/?ref_=sr_i_69
No Country for Old Men,https://www.imdb.com/title/tt0477348/?ref_=sr_i_70
Jurassic Park,https://www.imdb.com/title/tt0107290/?ref_=sr_i_71
One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/?ref_=sr_i_72
The Sixth Sense,https://www.imdb.com/title/tt0167404/?ref_=sr_i_73
Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/?ref_=sr_i_74
Whiplash,https://www.imdb.com/title/tt2582802/?ref_=sr_i_75
Parasite,https://www.imdb.com/title/tt6751668/?ref_=sr_i_76
Sherlock,https://www.imdb.com/title/tt1475582/?ref_=sr_i_77
